Data,Hora,Produto,ISIN,Bolsa de,Bolsa,Quantidade,Preços,,Valor local,,Valor,,Taxa de Câmbio,Custos de transação,,Total,,ID da Ordem
28-01-2021,15:30,ARCIMOTO INC,US0395871009,NDQ,XNAS,5,22.1900,USD,-110.95,USD,-91.50,EUR,1.2114,-0.52,EUR,-92.02,EUR,fac9d748-2c83-40ba-bb0c-fd9d7c0b636d
27-01-2021,15:47,AMC ENTERTAINMENT HOLD,US00165C1045,NSY,XNYS,10,16.5000,USD,-165.00,USD,-136.75,EUR,1.2054,-0.53,EUR,-137.28,EUR,a9eb063e-94c3-43a7-8a69-6a464738f4b2
27-01-2021,15:43,GAMESTOP CORPORATION C,US36467W1099,NSY,XNYS,2,293.0000,USD,-586.00,USD,-485.70,EUR,1.2053,-0.51,EUR,-486.21,EUR,dca04ea2-7ad6-42ff-bf8b-bab3c102e46b
27-01-2021,15:31,SQUARE INC - A,US8522341036,NSY,XNYS,-2,202.9000,USD,405.80,USD,334.70,EUR,1.2112,-0.51,EUR,334.19,EUR,ee21527d-d2da-4e1e-9fc8-c1827a4a0f9e
27-01-2021,15:30,PALANTIR TECHNOLOGIES INC-A,US69608A1088,NSY,XNYS,-2,33.0000,USD,66.00,USD,54.41,EUR,1.2117,-0.51,EUR,53.90,EUR,2e5e322a-a1ce-497d-96d0-5e5028f3b950
27-01-2021,15:30,SALESFORCE.COM INC COM,US79466L3024,NSY,XNYS,-2,223.8400,USD,447.68,USD,369.06,EUR,1.2118,-0.51,EUR,368.55,EUR,2f1f54d5-8c5d-4b95-aca9-1ebf99ddd587
05-01-2021,15:33,CHECK-CAP LTD. - ORDIN,IL0011336851,NDQ,XNAS,8,2.3000,USD,-18.40,USD,-14.99,EUR,1.2259,-0.53,EUR,-15.52,EUR,595494e1-7917-49fc-9b49-54289fc4324d
04-01-2021,16:13,NIO INC - ADR,US62914V1061,NSY,CDED,2,52.6800,USD,-105.36,USD,-85.81,EUR,1.2266,-0.51,EUR,-86.32,EUR,73a5de40-fa38-4500-a1e9-d4e1ff2dd856
24-12-2020,15:47,SQUARE INC - A,US8522341036,NSY,CDED,2,232.4400,USD,-464.88,USD,-381.33,EUR,1.2179,-0.51,EUR,-381.84,EUR,5f739293-1c53-4509-b3f8-54ac23b33637
24-12-2020,15:32,CRISPR THERAPEUTICS AG,CH0334081137,NDQ,XNAS,2,174.0000,USD,-348.00,USD,-285.57,EUR,1.2174,-0.51,EUR,-286.08,EUR,122262da-32ae-41be-a103-52a5cb32494c
24-12-2020,15:31,NIO INC - ADR,US62914V1061,NSY,XNYS,4,46.8100,USD,-187.24,USD,-153.64,EUR,1.2175,-0.51,EUR,-154.15,EUR,67f75c2b-cc18-42d1-97ab-60153934f64b
24-12-2020,15:30,SALESFORCE.COM INC COM,US79466L3024,NSY,XNYS,2,228.0000,USD,-456.00,USD,-374.26,EUR,1.2172,-0.51,EUR,-374.77,EUR,ae239016-8532-4075-a5ac-4959fbc2d730
24-12-2020,15:30,TESLA MOTORS INC. - C,US88160R1014,NDQ,XNAS,35,643.0100,USD,-22505.35,USD,-18471.23,EUR,1.2172,-0.62,EUR,-18471.85,EUR,f8b1caaa-be78-4f09-aee5-905d268a8e83
24-12-2020,15:30,LEMONADE INC,US52567D1072,NSY,XNYS,2,128.7600,USD,-257.52,USD,-211.36,EUR,1.2172,-0.51,EUR,-211.87,EUR,5b6e7b97-67ba-4bf2-9841-bafd34851cf0
23-12-2020,16:16,ARCIMOTO INC,US0395871009,NDQ,CDED,2,14.6000,USD,-29.20,USD,-23.91,EUR,1.2202,,,-23.91,EUR,6d54e3ca-f2b5-4b7d-a911-9f3c129cf011
23-12-2020,16:14,ARCIMOTO INC,US0395871009,NDQ,CDED,2,14.7500,USD,-29.50,USD,-24.15,EUR,1.2202,-0.51,EUR,-24.66,EUR,e5255d39-2299-4c25-a7a4-813136a12c2c
11-12-2020,15:30,PALANTIR TECHNOLOGIES INC-A,US69608A1088,NSY,XNYS,2,27.1000,USD,-54.20,USD,-44.71,EUR,1.2111,-0.51,EUR,-45.22,EUR,27ee6ec2-3832-4aa2-8a68-ab340c928a58
01-12-2020,16:17,ARCIMOTO INC,US0395871009,NDQ,CDED,1,12.8100,USD,-12.81,USD,-10.66,EUR,1.2000,-0.50,EUR,-11.16,EUR,f2392b19-eb3a-4e3b-9cd5-a6fb32c0f2aa
01-12-2020,16:13,INVITAE CORPORATION CO,US46185L1035,NSY,CDED,2,52.0650,USD,-104.13,USD,-86.81,EUR,1.1983,-0.51,EUR,-87.32,EUR,43bee41a-5319-448a-8a30-7ca880fa24af
